blocks_per_sm;throughput-64;throughput-128;throughput-256;throughput-512;throughput-1024
1;73.3026;146.556;176.497;177.681;178.16
2;146.533;176.316;177.626;177.979;176.67
4;176.073;177.187;177.941;176.712;176.985
8;176.986;177.187;176.452;176.931;176.663
16;177.376;176.523;176.565;176.08;175.752
32;177.717;176.819;175.558;175.046;178.184
64;177.522;175.418;175.148;177.953;179.167
128;175.439;175.346;177.132;178.533;180.501
256;176.338;176.627;178.184;180.273;181.149
512;177.605;176.355;177.824;181.156;181.381
1024;177.065;177.149;178.519;181.126;182.763
2048;178.063;177.871;180.115;183.035;184.986
4096;177.713;180.128;182.755;185.888;186.402
8192;179.722;182.784;186.395;187.323;186.325
